date,subs
4/1/2021,2973
4/2/2021,2864
4/3/2021,3014
4/4/2021,3118
4/5/2021,2894
4/6/2021,2899
4/7/2021,2864
4/8/2021,2916
4/9/2021,2927
4/10/2021,3053
4/11/2021,3113
4/12/2021,3025
4/13/2021,2981
4/14/2021,3461
4/15/2021,3286
4/16/2021,3458
4/17/2021,3472
4/18/2021,3773
4/19/2021,3812
4/20/2021,5417
4/21/2021,7026
4/22/2021,3001
4/23/2021,3603
4/24/2021,3247
4/25/2021,3198
4/26/2021,3124
4/27/2021,3017
4/28/2021,2839
4/29/2021,2902
4/30/2021,3212
5/1/2021,3151
5/2/2021,3198
5/3/2021,3058
5/4/2021,3044
5/5/2021,2918
5/6/2021,3116
5/7/2021,3212
5/8/2021,3609
5/9/2021,3349
5/10/2021,3014
5/11/2021,3149
5/12/2021,3365
5/14/2021,3557
5/13/2021,
5/15/2021,3664
5/16/2021,3571
5/17/2021,3086
5/18/2021,3686
5/19/2021,3982
5/20/2021,4527
5/21/2021,6149
5/22/2021,8697
5/23/2021,14004
5/24/2021,9563
5/25/2021,8039
5/26/2021,6437
5/27/2021,6472
5/28/2021,5828
5/29/2021,7363
5/30/2021,6713
5/31/2021,4236
6/1/2021,5217
6/2/2021,5099
6/3/2021,4921
6/4/2021,5261
6/5/2021,5672
6/6/2021,5661
6/7/2021,5790
6/8/2021,4962
6/9/2021,4872
6/10/2021,4949
6/11/2021,5609
6/12/2021,6543
6/13/2021,6048
6/15/2021,4540
6/16/2021,5310
6/14/2021,
6/17/2021,6796
6/18/2021,6376
6/19/2021,6730
6/20/2021,6960
6/21/2021,7601
6/22/2021,6968
6/23/2021,8253
6/25/2021,8316
6/26/2021,8385
6/27/2021,7398
6/24/2021,
6/28/2021,7881
6/29/2021,8275
6/30/2021,7883
7/1/2021,10916
7/2/2021,10903
7/3/2021,10708
7/4/2021,9683
7/5/2021,13999
7/7/2021,11700
7/8/2021,13076
7/9/2021,13322
7/10/2021,12196
7/6/2021,
7/11/2021,11108
7/12/2021,10478
7/13/2021,8938
7/14/2021,8749
7/15/2021,10703
7/16/2021,10158
7/17/2021,10470
7/18/2021,10092
7/19/2021,9366
7/20/2021,9256
7/21/2021,10179
7/22/2021,10566
7/23/2021,12750
7/24/2021,11171
7/25/2021,10492
7/26/2021,11180
7/27/2021,10105
7/28/2021,12848
7/29/2021,13270
7/30/2021,11549
7/31/2021,10497
8/1/2021,10790
8/2/2021,9431
8/3/2021,9409
8/4/2021,14194
8/5/2021,15550
8/6/2021,14229
8/7/2021,12911
8/8/2021,11966
8/9/2021,9977
8/10/2021,9527
8/11/2021,12939
8/12/2021,12955
8/13/2021,11193
8/15/2021,10070
8/16/2021,8420
8/17/2021,9305
8/18/2021,11612
8/19/2021,11881
8/14/2021,
8/20/2021,11254
8/21/2021,12434
8/22/2021,10906
8/23/2021,9281
8/24/2021,9955
8/25/2021,13237
8/26/2021,11878
8/27/2021,11297
8/28/2021,13021
8/29/2021,10760
8/30/2021,9067
8/31/2021,8749
9/1/2021,13067
9/2/2021,12306
9/3/2021,11212
9/4/2021,11399
9/5/2021,10738
9/6/2021,9659
9/7/2021,10094
9/8/2021,15454
9/9/2021,14432
9/10/2021,11393
9/11/2021,13369
9/12/2021,9237
9/13/2021,8346
9/14/2021,8777
9/15/2021,7798
9/16/2021,6875
9/17/2021,7354
9/18/2021,8563
9/19/2021,9325
9/20/2021,7741
9/21/2021,8763
9/22/2021,9190
9/23/2021,9160
9/24/2021,8563
9/25/2021,9886
9/26/2021,8719
9/27/2021,7930
9/28/2021,8174
9/29/2021,9135
9/30/2021,11977
10/1/2021,10741
10/2/2021,10497
10/3/2021,9242
10/4/2021,8853
10/5/2021,8886
10/7/2021,8683
10/8/2021,8790
10/9/2021,8837
10/10/2021,9067
10/11/2021,8313
10/13/2021,7152
10/6/2021,
10/14/2021,8026
10/15/2021,7352
10/16/2021,13873
10/17/2021,10322
10/18/2021,7434
10/19/2021,7697
10/12/2021,
10/20/2021,6349
10/21/2021,6143
10/22/2021,6056
10/23/2021,8760
10/24/2021,7341
10/25/2021,6157
10/26/2021,5798
10/27/2021,5839
10/28/2021,6817
10/29/2021,7130
10/30/2021,8009
10/31/2021,5886
11/1/2021,6867
11/2/2021,5365
11/4/2021,6905
11/5/2021,7631
11/6/2021,9344
11/7/2021,7571
11/8/2021,6626
11/9/2021,6820
11/10/2021,7108
11/11/2021,7793
11/3/2021,
11/12/2021,7185
11/13/2021,6828
11/14/2021,6587
11/15/2021,6026
11/16/2021,7089
11/17/2021,6308
11/18/2021,6519
11/19/2021,6278
11/21/2021,6590
11/22/2021,7415
11/23/2021,6124
11/24/2021,6056
11/25/2021,7297
11/26/2021,6264
11/27/2021,7368
11/28/2021,7763
11/29/2021,5560
11/20/2021,
11/30/2021,7056
12/1/2021,6796
12/2/2021,6601
12/3/2021,5941
12/4/2021,7500
12/5/2021,7363
12/6/2021,6105
12/8/2021,5721
12/9/2021,6563
12/10/2021,6634
12/11/2021,7675
12/12/2021,6469
12/13/2021,6168
12/14/2021,6576
12/15/2021,6256
12/16/2021,6511
12/17/2021,5916
12/7/2021,
12/18/2021,6445
12/19/2021,8612
12/20/2021,5434
12/21/2021,6560
12/22/2021,5705
12/23/2021,7017
12/24/2021,6217
12/25/2021,6963
12/26/2021,6382
12/27/2021,6105
12/28/2021,5749
12/29/2021,5552
12/30/2021,6184
12/31/2021,6006
1/1/2022,8626
1/2/2022,7212
1/3/2022,6220
1/4/2022,6437
1/5/2022,5987
1/6/2022,5921
1/7/2022,6113
1/8/2022,6390
1/9/2022,6220
1/10/2022,5774
1/11/2022,5683
1/12/2022,5121
1/13/2022,5930
1/14/2022,5828
1/16/2022,6732
1/17/2022,5672
1/18/2022,7804
1/19/2022,6234
1/20/2022,7604
1/21/2022,6557
1/23/2022,7461
1/24/2022,6141
1/25/2022,6417
1/26/2022,6675
1/27/2022,6439
1/15/2022,
1/28/2022,6091
1/29/2022,5500
1/30/2022,6401
1/31/2022,5480
2/1/2022,6001
2/2/2022,6264
2/3/2022,6423
1/22/2022,
2/4/2022,5987
2/5/2022,6184
2/6/2022,5894
2/7/2022,5798
2/8/2022,5642
2/9/2022,5502
2/10/2022,5771
2/11/2022,5647
2/12/2022,6464
2/13/2022,5543
2/14/2022,5245
2/15/2022,5436
2/16/2022,5508
2/17/2022,7179
2/18/2022,5508
2/19/2022,7716
2/20/2022,6700
2/21/2022,5850
2/22/2022,6020
2/23/2022,5965
2/24/2022,5845
2/25/2022,6346
2/27/2022,6089
3/1/2022,8927
3/2/2022,5938
3/3/2022,6179
3/4/2022,6505
3/5/2022,7116
3/6/2022,6771
3/7/2022,5710
3/8/2022,5242
3/9/2022,5472
3/10/2022,5913
3/11/2022,6138
3/12/2022,6352
2/26/2022,
3/13/2022,5779
3/14/2022,5379
2/28/2022,
3/15/2022,5417
3/16/2022,7017
3/17/2022,5067
3/18/2022,6453
3/19/2022,6064
3/20/2022,5746
3/21/2022,5310
3/22/2022,5491
3/23/2022,5398
3/24/2022,6031
3/25/2022,5398
3/26/2022,5664
3/27/2022,6360
3/28/2022,5327
3/29/2022,4543
3/30/2022,4209
3/31/2022,4667
4/1/2022,5741
4/2/2022,6390
4/3/2022,5763
4/4/2022,5738
4/5/2022,5458
4/6/2022,5491
4/7/2022,5212
4/8/2022,5168
4/9/2022,6116
4/10/2022,6316
4/11/2022,5678
4/12/2022,5352
4/13/2022,5154
4/14/2022,5280
4/15/2022,7083
4/16/2022,9505
4/18/2022,7070
4/19/2022,7459
4/20/2022,8966
4/21/2022,8103
4/22/2022,7141
4/23/2022,8483
4/24/2022,7316
4/25/2022,6395
4/26/2022,6760
4/27/2022,5519
4/28/2022,6141
4/29/2022,5932
4/30/2022,8853
5/1/2022,7927
5/2/2022,6900
4/17/2022,
5/3/2022,6708
5/4/2022,6379
5/5/2022,6195
5/6/2022,5716
5/7/2022,6269
5/8/2022,6152
5/9/2022,5398
5/10/2022,5774
5/11/2022,5878
5/12/2022,5705
5/13/2022,5650
5/14/2022,7574
5/15/2022,6234
5/16/2022,6957
5/17/2022,6248
5/18/2022,6012
5/19/2022,6445
5/20/2022,6453
5/21/2022,6291
5/22/2022,6626
5/23/2022,6028
5/24/2022,6168
5/25/2022,6722
5/26/2022,6080
5/27/2022,5669
5/28/2022,6343
5/29/2022,6708
5/30/2022,5373
5/31/2022,4984
6/1/2022,6132
6/2/2022,6922
6/3/2022,6363
6/4/2022,6513
6/5/2022,6278
6/6/2022,5982
6/7/2022,6080
6/8/2022,5727
6/9/2022,6206
6/11/2022,6316
6/12/2022,6050
6/13/2022,7250
6/14/2022,6154
6/15/2022,6839
6/16/2022,6743
6/17/2022,6557
6/18/2022,6226
6/19/2022,6494
6/20/2022,6368
6/21/2022,7091
6/22/2022,6371
6/23/2022,6974
6/24/2022,6839
6/25/2022,6313
6/26/2022,6015
6/10/2022,
6/27/2022,5732
6/28/2022,6735
6/29/2022,5869
6/30/2022,7409
7/1/2022,7105
7/3/2022,6472
7/4/2022,6428
7/5/2022,6560
7/6/2022,6423
7/8/2022,6557
7/10/2022,6765
7/11/2022,6371
7/12/2022,7607
7/13/2022,6267
7/14/2022,6974
7/15/2022,6705
7/16/2022,6905
7/17/2022,6596
7/18/2022,6311
7/19/2022,6530
7/20/2022,7324
7/21/2022,8538
7/2/2022,
7/22/2022,7557
7/23/2022,8223
7/24/2022,7105
7/25/2022,6554
7/26/2022,7204
7/7/2022,
7/27/2022,7396
7/28/2022,7152
7/9/2022,
7/29/2022,7187
7/30/2022,6442
7/31/2022,6289
8/1/2022,6650
8/3/2022,6713
8/4/2022,7026
8/5/2022,7228
8/6/2022,9733
8/7/2022,8322
8/8/2022,6732
8/9/2022,6872
8/10/2022,6919
8/11/2022,8549
8/12/2022,6979
8/13/2022,8226
8/14/2022,7149
8/15/2022,6708
8/16/2022,6878
8/17/2022,6820
8/18/2022,6571
8/19/2022,7330
8/20/2022,7839
8/21/2022,7831
8/22/2022,7850
8/2/2022,
8/23/2022,7122
8/24/2022,6700
8/25/2022,7256
8/26/2022,7609
8/27/2022,7615
8/28/2022,7848
8/29/2022,6574
8/30/2022,6985
8/31/2022,7363
9/1/2022,8434
9/2/2022,7933
9/3/2022,8694
9/4/2022,8133
9/5/2022,7631
9/6/2022,7702
9/7/2022,7859
9/8/2022,6993
9/9/2022,6878
9/10/2022,8434
9/11/2022,7165
9/12/2022,7382
9/13/2022,7308
9/14/2022,7346
9/15/2022,7045
9/16/2022,7705
9/17/2022,8127
9/18/2022,7565
9/19/2022,6886
9/20/2022,7324
9/21/2022,7938
9/22/2022,7330
9/23/2022,7322
9/24/2022,7215
9/25/2022,7642
9/26/2022,6793
9/27/2022,7486
9/28/2022,6946
9/29/2022,7176
9/30/2022,8998
10/1/2022,9607
10/2/2022,9160
10/3/2022,7250
10/4/2022,7771
10/5/2022,8675
10/6/2022,8563
10/7/2022,8075
10/8/2022,8415
10/9/2022,8604
10/10/2022,7239
10/11/2022,8313
10/12/2022,8475
10/13/2022,8724
10/14/2022,7927
10/15/2022,8467
10/16/2022,9404
10/17/2022,7823
10/19/2022,8489
10/20/2022,8308
10/21/2022,8418
10/23/2022,7894
10/24/2022,7708
10/25/2022,8327
10/26/2022,8437
10/27/2022,8544
10/28/2022,8059
10/29/2022,8777
10/30/2022,7475
10/31/2022,6582
11/1/2022,8461
11/2/2022,8642
11/3/2022,8809
11/4/2022,9075
11/5/2022,9423
11/6/2022,10081
11/7/2022,7878
11/8/2022,9708
11/9/2022,8788
10/18/2022,
11/10/2022,9190
11/11/2022,9138
11/12/2022,9957
11/13/2022,9275
10/22/2022,
11/14/2022,8248
11/15/2022,9497
11/16/2022,9157
11/17/2022,8590
11/18/2022,8796
11/19/2022,9612
11/20/2022,11059
11/21/2022,9790
11/22/2022,10105
11/23/2022,9248
11/24/2022,9042
11/25/2022,9042
11/26/2022,8998
11/27/2022,8719
11/28/2022,8686
11/29/2022,8492
11/30/2022,9344
12/1/2022,9456
12/2/2022,9286
12/3/2022,9031
12/4/2022,9374
12/5/2022,8856
12/6/2022,9631
12/7/2022,9412
12/8/2022,9481
12/9/2022,9327
12/10/2022,9190
12/11/2022,9042
12/12/2022,8637
12/13/2022,9508
12/14/2022,9141
12/15/2022,9289
12/17/2022,9182
12/18/2022,9437
12/22/2022,9689
12/23/2022,8897
12/24/2022,8793
12/25/2022,9062
12/26/2022,9785
12/27/2022,9788
12/28/2022,10242
12/29/2022,9223
12/30/2022,8840
12/31/2022,8870
1/1/2023,8735
1/2/2023,9796
1/3/2023,9878
1/4/2023,10960
1/5/2023,10568
1/6/2023,10774
1/7/2023,10333
1/8/2023,10240
1/9/2023,9755
1/11/2023,10325
1/12/2023,9804
12/16/2022,
1/13/2023,9974
1/14/2023,11300
1/15/2023,11147
12/19/2022,
1/16/2023,10278
12/20/2022,
12/21/2022,
1/10/2023,
1/17/2023,10004
1/18/2023,9544
1/19/2023,9911
1/20/2023,9629
1/21/2023,10426
1/22/2023,11722
1/23/2023,10675
1/24/2023,10527
1/25/2023,10673
1/26/2023,11210
1/27/2023,11399
1/28/2023,12029
1/29/2023,11155
1/30/2023,10421
1/31/2023,
2/1/2023,10253
2/2/2023,10996
2/3/2023,11632
2/4/2023,15440
2/5/2023,13793
2/6/2023,
2/7/2023,12284
2/8/2023,12415
2/9/2023,11092
2/10/2023,11327
2/11/2023,13087
2/12/2023,
2/13/2023,11138
2/14/2023,11722
