Mã CK,Tên công ty,Sàn,Nhóm ngành,Năm,CPI,"GDP
MBB,Ngân hàng TMCP Quân Đội,HoSE,Trung gian tín dụng và các hoạt động liên quan,2015,100.63,4192862,1.23566E+12,1.19372E+14,2.21042E+14,7.50949E+12,1.81565E+14,1.97859E+14,2.31831E+13,7.31853E+12,86523000000,3.44913E+12,2.51213E+12,4.25343E+11,4.42136E+11,1.08212E+12,2015,0.631200905
MSB,Ngân hàng TMCP Hàng hải Việt Nam,HoSE,Trung gian tín dụng và các hoạt động liên quan,2015,100.63,4192862,1.52902E+12,2.74902E+13,1.04311E+14,1.73994E+13,6.26157E+13,9.0695E+13,1.36162E+13,1.58692E+12,1.6196E+11,1.80886E+12,1.16274E+11,58444000000,1.82632E+11,6.65456E+11,2015,0.631200905
NVB,Ngân hàng TMCP Quốc Dân,HNX,Trung gian tín dụng và các hoạt động liên quan,2015,100.63,4192862,2.85712E+11,2.0222E+13,4.823E+13,9.99095E+12,3.4031E+13,4.50127E+13,3.21733E+12,7.62879E+11,30404001450,6.55265E+11,6490161635,1.56676E+11,29277860353,2.53263E+11,2015,0.631200905
SHB,Ngân hàng TMCP Sài Gòn - Hà Nội,HoSE,Trung gian tín dụng và các hoạt động liên quan,2015,100.63,4192862,1.91786E+12,1.30006E+14,2.04704E+14,2.81458E+13,1.48829E+14,1.93446E+14,1.12578E+13,3.69615E+12,1.30408E+11,2.07864E+12,7.95156E+11,1.81863E+11,7.98176E+11,1.28264E+12,2015,0.631200905
SSB,Ngân hàng TMCP Đông Nam Á,HoSE,Trung gian tín dụng và các hoạt động liên quan,2015,100.63,4192862,5.64169E+11,4.24394E+13,8.47568E+13,1.8073E+13,5.70184E+13,7.8988E+13,5.76886E+12,1.14656E+12,2527000000,9.67923E+11,91885000000,4.38473E+11,29830000000,1.43135E+11,2015,0.631200905
STB,Ngân hàng TMCP Sài Gòn Thương Tín,HoSE,Trung gian tín dụng và các hoạt động liên quan,2015,100.63,4192862,6.58648E+12,1.8366E+14,2.92033E+14,2.95407E+12,2.60995E+14,2.69952E+14,2.20805E+13,6.57511E+12,20182000000,5.15455E+12,6.47919E+11,1.77691E+12,1.14003E+12,7.86148E+12,2015,0.631200905
TCB,Ngân hàng TMCP Kỹ thương Việt Nam,HoSE,Trung gian tín dụng và các hoạt động liên quan,2015,100.63,4192862,2.7543E+12,1.10461E+14,1.91994E+14,2.0746E+13,1.4224E+14,1.75536E+14,1.64576E+13,7.20838E+12,4.85304E+11,3.6828E+12,1.52919E+12,3.96736E+11,5.37739E+11,1.01667E+12,2015,0.631200905
TPB,Ngân hàng TMCP Tiên Phong,HoSE,Trung gian tín dụng và các hoạt động liên quan,2015,100.63,4192862,6.215E+11,2.79777E+13,7.62208E+13,2.93956E+13,3.95054E+13,7.14222E+13,4.79867E+12,1.40292E+12,17861000000,7.94793E+11,5.6216E+11,37704000000,68066000000,80198000000,2015,0.631200905
VCB,Ngân hàng TMCP Ngoại thương Việt Nam,HoSE,Trung gian tín dụng và các hoạt động liên quan,2015,100.63,4192862,8.51933E+12,3.78542E+14,6.74395E+14,7.21354E+13,5.00528E+14,6.29222E+14,4.51723E+13,1.5453E+13,2.35271E+11,8.30625E+12,5.33207E+12,7.96645E+11,7.50489E+11,5.59013E+12,2015,0.631200905
VIB,Ngân hàng TMCP Quốc tế Việt Nam,HoSE,Trung gian tín dụng và các hoạt động liên quan,2015,100.63,4192862,8.4938E+11,4.70246E+13,8.43088E+13,1.26997E+13,5.3304E+13,7.5698E+13,8.61081E+12,2.34411E+12,80609000000,1.76524E+12,5.21066E+11,1.3525E+11,98039000000,7.55887E+11,2015,0.631200905
VPB,Ngân hàng TMCP Việt Nam Thịnh Vượng,HoSE,Trung gian tín dụng và các hoạt động liên quan,2015,100.63,4192862,1.63243E+12,1.15062E+14,1.93876E+14,1.77644E+13,1.30271E+14,1.80488E+14,1.33889E+13,1.03534E+13,82291000000,5.69247E+12,2.39587E+12,1.26802E+12,5.23016E+11,1.35401E+12,2015,0.631200905
ACB,Ngân hàng TMCP Á Châu,HoSE,Trung gian tín dụng và các hoạt động liên quan,2014,104.09,3937856,2.49629E+12,1.14745E+14,1.7961E+14,6.14524E+12,1.54614E+14,1.67212E+14,1.23973E+13,4.76563E+12,57539000000,3.86361E+12,9.51802E+11,2.93035E+11,4.44308E+11,1.79591E+12,2014,4.084554466
BAB,Ngân hàng TMCP Bắc Á,HNX,Trung gian tín dụng và các hoạt động liên quan,2014,104.09,3937856,6.84005E+11,3.60852E+13,5.7182E+13,5.0413E+12,4.63125E+13,5.30599E+13,4.12204E+12,1.09304E+12,12243868044,5.63539E+11,2.74075E+11,2.18095E+11,15342950000,5.51487E+11,2014,4.084554466
BID,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,HoSE,Trung gian tín dụng và các hoạt động liên quan,2014,104.09,3937856,5.39348E+12,4.3907E+14,6.5034E+14,8.61862E+13,4.40472E+14,6.16734E+14,3.32713E+13,1.68443E+13,8.4703E+11,8.6239E+12,4.98567E+12,4.71421E+12,1.07581E+12,3.26681E+12,2014,4.084554466
CTG,Ngân hàng TMCP Công Thương Việt Nam,HoSE,Trung gian tín dụng và các hoạt động liên quan,2014,104.09,3937856,4.63074E+12,4.35503E+14,6.61242E+14,1.0377E+14,4.24181E+14,6.05983E+14,5.50338E+13,1.78621E+13,2.3462E+12,9.8045E+12,5.72788E+12,3.51923E+11,2.46832E+12,2.08491E+12,2014,4.084554466
EIB,Ngân hàng TMCP Xuất nhập khẩu Việt Nam,HoSE,Trung gian tín dụng và các hoạt động liên quan,2014,104.09,3937856,1.66205E+12,8.61238E+13,1.61094E+14,4.10433E+13,1.01372E+14,1.47026E+14,1.40683E+13,2.71023E+12,4.21035E+11,2.0487E+12,56084000000,2.45592E+11,5.55154E+11,1.34363E+12,2014,4.084554466
HDB,Ngân hàng TMCP Phát triển TP. HCM,HoSE,Trung gian tín dụng và các hoạt động liên quan,2014,104.09,3937856,8.18918E+11,4.1509E+13,9.95246E+13,1.95067E+13,6.54116E+13,9.03258E+13,8.87405E+12,1.62914E+12,37381322624,1.82014E+12,4.76877E+11,1.90265E+11,1.46697E+11,6.16714E+11,2014,4.084554466
MBB,Ngân hàng TMCP Quân Đội,HoSE,Trung gian tín dụng và các hoạt động liên quan,2014,104.09,3937856,1.23323E+12,9.81063E+13,2.00489E+14,4.60417E+12,1.67609E+14,1.83341E+14,1.65611E+13,6.54007E+12,18883514307,3.1142E+12,2.50299E+12,4.78087E+11,9.02868E+11,1.3645E+12,2014,4.084554466
NVB,Ngân hàng TMCP Quốc Dân,HNX,Trung gian tín dụng và các hoạt động liên quan,2014,104.09,3937856,2.20398E+11,1.64453E+13,3.68371E+13,8.69879E+12,2.44404E+13,3.36254E+13,3.21167E+12,6.00482E+11,7222310754,6.04431E+11,8134266795,38020655606,51470141221,3.30624E+11,2014,4.084554466
SHB,Ngân hàng TMCP Sài Gòn - Hà Nội,HoSE,Trung gian tín dụng và các hoạt động liên quan,2014,104.09,3937856,8.01433E+11,1.03048E+14,1.69036E+14,2.81429E+13,1.23228E+14,1.58553E+14,1.04801E+13,2.72597E+12,1.89174E+11,1.62435E+12,7.90747E+11,2.62754E+11,3.56024E+11,1.4889E+12,2014,4.084554466
STB,Ngân hàng TMCP Sài Gòn Thương Tín,HoSE,Trung gian tín dụng và các hoạt động liên quan,2014,104.09,3937856,4.81594E+12,1.26646E+14,1.89803E+14,4.41061E+12,1.63057E+14,1.71739E+14,1.80632E+13,6.56466E+12,59045000000,4.46061E+12,2.20643E+12,1.02765E+11,4.14089E+11,1.00566E+12,2014,4.084554466
TCB,Ngân hàng TMCP Kỹ thương Việt Nam,HoSE,Trung gian tín dụng và các hoạt động liên quan,2014,104.09,3937856,2.72364E+12,7.93478E+13,1.75902E+14,1.94714E+13,1.3169E+14,1.60916E+14,1.49861E+13,5.77263E+12,9.77475E+11,3.43105E+12,1.08186E+12,3.09301E+11,3.26336E+11,1.05518E+12,2014,4.084554466
VCB,Ngân hàng TMCP Ngoại thương Việt Nam,HoSE,Trung gian tín dụng và các hoạt động liên quan,2014,104.09,3937856,8.32339E+12,3.16254E+14,5.76996E+14,4.32378E+13,4.22204E+14,5.33524E+14,4.3324E+13,1.17542E+13,1.54985E+11,6.85093E+12,4.58477E+12,2.1357E+12,1.77077E+12,3.55221E+12,2014,4.084554466
VIB,Ngân hàng TMCP Quốc tế Việt Nam,HoSE,Trung gian tín dụng và các hoạt động liên quan,2014,104.09,3937856,6.37522E+11,3.72896E+13,8.0661E+13,1.97611E+13,4.90519E+13,7.21607E+13,8.50026E+12,2.29289E+12,85140000000,1.63371E+12,5.2267E+11,1.19226E+11,3.19623E+11,5.21038E+11,2014,4.084554466
VPB,Ngân hàng TMCP Việt Nam Thịnh Vượng,HoSE,Trung gian tín dụng và các hoạt động liên quan,2014,104.09,3937856,1.35803E+12,7.72557E+13,1.63241E+14,2.62282E+13,1.08354E+14,1.54261E+14,8.98029E+12,5.29109E+12,2.53363E+11,3.68298E+12,1.25359E+12,7.66633E+11,7.06443E+11,5.15866E+11,2014,4.084554466
ACB,Ngân hàng TMCP Á Châu,HoSE,Trung gian tín dụng và các hoạt động liên quan,2013,109.6,3584262,2.04349E+12,1.05642E+14,1.66599E+14,7.79378E+12,1.38111E+14,1.54095E+14,1.25042E+13,4.38641E+12,44938000000,3.7594E+12,8.26493E+11,6.56978E+11,4.63358E+11,2.12253E+12,2013,6.592674759
BAB,Ngân hàng TMCP Bắc Á,HNX,Trung gian tín dụng và các hoạt động liên quan,2013,109.6,3584262,4.44281E+11,2.92447E+13,5.03077E+13,3.49725E+12,4.24076E+13,4.69958E+13,3.3119E+12,1.22964E+12,3958759737,6.81486E+11,1.92297E+11,2.24535E+11,46611124496,4.12921E+11,2013,6.592674759
BID,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,HoSE,Trung gian tín dụng và các hoạt động liên quan,2013,109.6,3584262,3.86266E+12,3.8489E+14,5.48386E+14,4.77986E+13,3.38902E+14,5.16094E+14,3.204E+13,1.39501E+13,9.16711E+11,7.43648E+12,4.05101E+12,3.94637E+12,6.83715E+11,4.20928E+12,2013,6.592674759
CTG,Ngân hàng TMCP Công Thương Việt Nam,HoSE,Trung gian tín dụng và các hoạt động liên quan,2013,109.6,3584262,2.8335E+12,3.72989E+14,5.76368E+14,8.04647E+13,3.64497E+14,5.22081E+14,5.40747E+13,1.82773E+13,4.36531E+11,9.90965E+12,5.80798E+12,5.15442E+11,1.0058E+12,2.24905E+12,2013,6.592674759
EIB,Ngân hàng TMCP Xuất nhập khẩu Việt Nam,HoSE,Trung gian tín dụng và các hoạt động liên quan,2013,109.6,3584262,1.48022E+12,8.26433E+13,1.69835E+14,6.57666E+13,7.94724E+13,1.55155E+14,1.46803E+13,2.73634E+12,1.15974E+11,2.12073E+12,6.58706E+11,2.69456E+11,3.08948E+11,1.0738E+12,2013,6.592674759
HDB,Ngân hàng TMCP Phát triển TP. HCM,HoSE,Trung gian tín dụng và các hoạt động liên quan,2013,109.6,3584262,6.32025E+11,4.3333E+13,8.62266E+13,1.12893E+13,6.23839E+13,7.76271E+13,8.59955E+12,3.09373E+11,13115092352,1.11846E+12,2.17596E+11,4.02052E+11,2.21574E+11,9.2946E+11,2013,6.592674759
MBB,Ngân hàng TMCP Quân Đội,HoSE,Trung gian tín dụng và các hoạt động liên quan,2013,109.6,3584262,1.03467E+12,8.59728E+13,1.80381E+14,2.1423E+13,1.36089E+14,1.64674E+14,1.51482E+13,6.12437E+12,29462844768,2.74647E+12,2.28572E+12,6.53037E+11,6.7437E+11,8.18668E+11,2013,6.592674759
NVB,Ngân hàng TMCP Quốc Dân,HNX,Trung gian tín dụng và các hoạt động liên quan,2013,109.6,3584262,1.77721E+11,1.32663E+13,2.90744E+13,5.00855E+12,1.83769E+13,2.58708E+13,3.20354E+12,5.9604E+11,39495072308,6.18141E+11,18454083665,2.60247E+11,1.19024E+11,4.3832E+11,2013,6.592674759
SHB,Ngân hàng TMCP Sài Gòn - Hà Nội,HoSE,Trung gian tín dụng và các hoạt động liên quan,2013,109.6,3584262,5.41115E+11,7.53221E+13,1.43626E+14,2.06854E+13,9.0761E+13,1.33267E+14,1.03557E+13,2.10406E+12,28670000000,1.86087E+12,8.4977E+11,1.44391E+11,4.3485E+11,2.52455E+12,2013,6.592674759
SSB,Ngân hàng TMCP Đông Nam Á,HoSE,Trung gian tín dụng và các hoạt động liên quan,2013,109.6,3584262,4.64659E+11,2.0423E+13,7.98644E+13,3.37614E+13,3.61834E+13,7.41381E+13,5.72637E+12,8.62122E+11,2296000000,8.01158E+11,1.51697E+11,1.4634E+11,1.07706E+11,3.18548E+11,2013,6.592674759
STB,Ngân hàng TMCP Sài Gòn Thương Tín,HoSE,Trung gian tín dụng và các hoạt động liên quan,2013,109.6,3584262,4.22878E+12,1.09214E+14,1.61378E+14,5.00721E+12,1.31645E+14,1.44314E+14,1.70637E+13,6.62744E+12,35235000000,4.20602E+12,2.22911E+12,1.69732E+11,4.22252E+11,1.01797E+12,2013,6.592674759
TCB,Ngân hàng TMCP Kỹ thương Việt Nam,HoSE,Trung gian tín dụng và các hoạt động liên quan,2013,109.6,3584262,2.29149E+12,6.90887E+13,1.58897E+14,1.5225E+13,1.19978E+14,1.44977E+14,1.39201E+13,4.33566E+12,3.24514E+11,3.35567E+12,6.59071E+11,5.32325E+11,1.12885E+12,9.89497E+11,2013,6.592674759
VCB,Ngân hàng TMCP Ngoại thương Việt Nam,HoSE,Trung gian tín dụng và các hoạt động liên quan,2013,109.6,3584262,6.05967E+12,2.67863E+14,4.68994E+14,4.40443E+13,3.32246E+14,4.26458E+14,4.23861E+13,1.07824E+13,93294000000,6.24406E+12,4.37758E+12,2.71357E+12,1.96979E+12,2.792E+12,2013,6.592674759
VIB,Ngân hàng TMCP Quốc tế Việt Nam,HoSE,Trung gian tín dụng và các hoạt động liên quan,2013,109.6,3584262,5.72546E+11,3.43131E+13,7.68747E+13,1.90363E+13,4.32394E+13,6.8892E+13,7.98263E+12,1.93566E+12,96743000000,1.5615E+12,50248000000,5.27883E+11,1.79587E+11,2.8645E+11,2013,6.592674759
VPB,Ngân hàng TMCP Việt Nam Thịnh Vượng,HoSE,Trung gian tín dụng và các hoạt động liên quan,2013,109.6,3584262,1.54935E+12,5.18694E+13,1.21264E+14,1.31341E+13,8.38438E+13,1.13538E+14,7.7267E+12,4.08259E+12,17227000000,2.83786E+12,1.01762E+12,5.94869E+11,4.74208E+11,4.05219E+11,2013,6.592674759
ACB,Ngân hàng TMCP Á Châu,HoSE,Trung gian tín dụng và các hoạt động liên quan,2012,109.21,3245419,7.09631E+12,1.01313E+14,1.76308E+14,1.37488E+13,1.25234E+14,1.63683E+14,1.26245E+13,6.87093E+12,96133000000,4.27066E+12,7.8404E+11,7.47218E+11,6.73361E+11,1.15039E+12,2012,9.094703396
BAB,Ngân hàng TMCP Bắc Á,HNX,Trung gian tín dụng và các hoạt động liên quan,2012,109.21,3245419,6.82336E+11,2.20561E+13,3.37383E+13,9.18974E+11,2.90288E+13,3.05913E+13,3.14699E+12,6.8609E+11,767552523,5.95695E+11,34581115303,3.41932E+11,1.17744E+11,8.04091E+11,2012,9.094703396
BID,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,HoSE,Trung gian tín dụng và các hoạt động liên quan,2012,109.21,3245419,3.29507E+12,3.34009E+14,4.84785E+14,3.95502E+13,3.0306E+14,4.58081E+14,2.64944E+13,9.20821E+12,4.07844E+11,4.574E+12,2.57194E+12,5.85712E+12,8.2484E+11,2.47903E+12,2012,9.094703396
CTG,Ngân hàng TMCP Công Thương Việt Nam,HoSE,Trung gian tín dụng và các hoạt động liên quan,2012,109.21,3245419,2.51111E+12,3.29683E+14,5.0353E+14,9.68148E+13,2.89105E+14,4.6969E+14,3.36245E+13,1.842E+13,1.44977E+11,9.43567E+12,6.16968E+12,9.94983E+11,1.78907E+12,2.10594E+12,2012,9.094703396
EIB,Ngân hàng TMCP Xuất nhập khẩu Việt Nam,HoSE,Trung gian tín dụng và các hoạt động liên quan,2012,109.21,3245419,1.32098E+13,7.4316E+13,1.70156E+14,5.80464E+13,7.04583E+13,1.54344E+14,1.58122E+13,4.90146E+12,2.97013E+11,2.29696E+12,2.13866E+12,49932000000,1.44889E+11,7.92803E+11,2012,9.094703396
HDB,Ngân hàng TMCP Phát triển TP. HCM,HoSE,Trung gian tín dụng và các hoạt động liên quan,2012,109.21,3245419,8.07468E+11,2.09524E+13,5.27828E+13,7.89537E+12,3.42619E+13,4.73891E+13,5.39375E+12,8.50073E+11,29633018777,7.96522E+11,3.26431E+11,3.54754E+11,1.16906E+11,25899700000,2012,9.094703396
MBB,Ngân hàng TMCP Quân Đội,HoSE,Trung gian tín dụng và các hoạt động liên quan,2012,109.21,3245419,8.64943E+11,7.31658E+13,1.7561E+14,3.05121E+13,1.17747E+14,1.6208E+14,1.28639E+13,6.60256E+12,-1.9707E+11,2.69666E+12,2.32004E+12,2.99127E+11,4.32905E+11,6.39607E+11,2012,9.094703396
NVB,Ngân hàng TMCP Quốc Dân,HNX,Trung gian tín dụng và các hoạt động liên quan,2012,109.21,3245419,2.00574E+11,1.26671E+13,2.15852E+13,95632151146,1.22729E+13,1.84003E+13,3.18491E+12,7.32411E+11,2524134903,6.50494E+11,2174268036,2.44255E+11,1.15755E+11,3.66698E+11,2012,9.094703396
SHB,Ngân hàng TMCP Sài Gòn - Hà Nội,HoSE,Trung gian tín dụng và các hoạt động liên quan,2012,109.21,3245419,4.84887E+11,5.56893E+13,1.16538E+14,2.17773E+13,7.75985E+13,1.07029E+14,9.50605E+12,1.87553E+12,32120000000,1.67899E+12,1.68724E+12,1.03082E+12,1.77418E+12,2.20947E+12,2012,9.094703396
SSB,Ngân hàng TMCP Đông Nam Á,HoSE,Trung gian tín dụng và các hoạt động liên quan,2012,109.21,3245419,4.15603E+11,1.62301E+13,7.50667E+13,3.13695E+13,3.14468E+13,6.94846E+13,5.58211E+12,1.15808E+12,3030000000,9.49149E+11,52744000000,1.04081E+11,1.05091E+11,2.86502E+11,2012,9.094703396
STB,Ngân hàng TMCP Sài Gòn Thương Tín,HoSE,Trung gian tín dụng và các hoạt động liên quan,2012,109.21,3245419,9.70374E+12,9.48878E+13,1.52119E+14,4.73053E+12,1.07459E+14,1.3842E+14,1.36987E+13,6.49718E+12,1.76891E+11,4.15424E+12,1.00237E+12,3.12084E+11,7.6421E+11,8.9678E+11,2012,9.094703396
TCB,Ngân hàng TMCP Kỹ thương Việt Nam,HoSE,Trung gian tín dụng và các hoạt động liên quan,2012,109.21,3245419,4.52919E+12,6.71363E+13,1.79934E+14,3.91704E+13,1.11462E+14,1.66644E+14,1.32896E+13,5.11557E+12,2.56233E+11,3.29404E+12,7.65686E+11,4.47898E+11,8.48623E+11,8.83519E+11,2012,9.094703396
TPB,Ngân hàng TMCP Tiên Phong,HoSE,Trung gian tín dụng và các hoạt động liên quan,2012,109.21,3245419,65320769847,5.99036E+12,1.51204E+13,7.62944E+11,9.26993E+12,1.18014E+13,3.31901E+12,2.74618E+11,41128451790,3.25552E+11,1.16353E+11,31954945539,1.0437E+11,86466125461,2012,9.094703396
VCB,Ngân hàng TMCP Ngoại thương Việt Nam,HoSE,Trung gian tín dụng và các hoạt động liên quan,2012,109.21,3245419,5.62731E+12,2.35889E+14,4.14488E+14,3.40664E+13,2.85382E+14,3.7279E+14,4.15469E+13,1.09411E+13,1.32155E+11,6.01311E+12,4.42099E+12,3.12613E+12,1.21372E+12,1.45146E+12,2012,9.094703396
VPB,Ngân hàng TMCP Việt Nam Thịnh Vượng,HoSE,Trung gian tín dụng và các hoạt động liên quan,2012,109.21,3245419,7.99402E+11,3.65231E+13,1.02576E+14,2.56557E+13,5.95141E+13,9.59393E+13,6.63702E+12,2.96716E+12,23953000000,1.88078E+12,6.43394E+11,2.57505E+11,5.54257E+11,1.91525E+11,2012,9.094703396
